Member Name,Party,District,Position,Room,Phone,Email,Chamber,Legislative Assistant,LA Email,,,
Annette Cleveland,D,49,,JAC 223,(360) 786-7696,Annette.Cleveland@leg.wa.gov,Senate,Kevin Gordon,kevin.gordon@leg.wa.gov,,
April Connors,R,8,2,LEG 426A,(360) 786-7882,April.Connors@leg.wa.gov,House,William Burch,William.Burch@leg.wa.gov,,
Steve Conway,D,29,,JAC 241,(360) 786-7656,steve.conway@leg.wa.gov,Senate,Savannah Van Leuvan-Smith,Savannah.VanLeuvan-Smith@leg.wa.gov,,
Chris Corry,R,15,1,LEG 335A,(360) 786-7810,chris.corry@leg.wa.gov,House,Camille Nelson,Camille.Nelson@leg.wa.gov,,
Adrian Cortes,D,18,,LEG 411,(360) 786-7634,Adrian.Cortes@leg.wa.gov,Senate,Kirsi Lundhagen,Kirsi.Lundhagen@leg.wa.gov,,
Julio Cortes,D,38,1,JLOB 327,(360) 786-7840,Julio.Cortes@leg.wa.gov,House,Charles Wichert,Charles.Wichert@leg.wa.gov,,
Travis Couture,R,35,2,JLOB 404,(360) 786-7902,Travis.Couture@leg.wa.gov,House,Tristan Mospan,Tristan.Mospan@leg.wa.gov,,
Lauren Davis,D,32,2,JLOB 331,(360) 786-7910,Lauren.Davis@leg.wa.gov,House,Vivian Marrero,Vivian.Marrero@leg.wa.gov,,
Tom Dent,R,13,1,JLOB 437,(360) 786-7932,tom.dent@leg.wa.gov,House,Jennifer Hanna,Jennifer.Hanna@leg.wa.gov,,
Manka Dhingra,D,45,,JAC 239,(360) 786-7672,manka.dhingra@leg.wa.gov,Senate,Daisy Wong,Daisy.Wong@leg.wa.gov,,
Beth Doglio,D,22,1,JLOB 308,(360) 786-7940,beth.doglio@leg.wa.gov,House,Kevin Snow,Kevin.Snow@leg.wa.gov,,
Brandy Donaghy,D,44,1,JLOB 417,(360) 786-7804,Brandy.Donaghy@leg.wa.gov,House,Jessica Thom,Jessica.Thom@leg.wa.gov,,
Perry Dozier,R,16,,INB 342,(360) 786-7630,Perry.Dozier@leg.wa.gov,Senate,Tiffani Sanné,Tiffani.Sanne@leg.wa.gov,,
Davina Duerr,D,1,1,JLOB 322,(360) 786-7928,davina.duerr@leg.wa.gov,House,Ann Dasch,ann.dasch@leg.wa.gov,,
Jeremie Dufault,R,15,2,LEG 122E,(360) 786-7874,jeremie.dufault@leg.wa.gov,House,Jon Hough,Jon.Hough@leg.wa.gov,,
Mary Dye,R,9,1,JLOB 432,(360) 786-7942,mary.dye@leg.wa.gov,House,Kieran Sprague,Kieran.Sprague@leg.wa.gov,,
Andrew Engell,R,7,1,LEG 122C,(360) 786-7908,Andrew.Engell@leg.wa.gov,House,Nora Halbert,nora.halbert@leg.wa.gov,,
Debra Entenman,D,47,1,JLOB 325,(360) 786-7918,Debra.Entenman@leg.wa.gov,House,Meynuna Abdalla,Meynuna.Abdalla@leg.wa.gov,,
Carolyn Eslick,R,39,2,JLOB 436,(360) 786-7816,carolyn.eslick@leg.wa.gov,House,Steve Elam,steve.elam@leg.wa.gov,,
Darya Farivar,D,46,2,JLOB 369,(360) 786-7818,Darya.Farivar@leg.wa.gov,House,Sunshine Cheng,Sunshine.Cheng@leg.wa.gov,,
Jake Fey,D,27,2,JLOB 415,(360) 786-7974,jake.fey@leg.wa.gov,House,Noelle Kappert,noelle.kappert@leg.wa.gov,,
Joe Fitzgibbon,D,34,2,LEG 339A,(360) 786-7952,joe.fitzgibbon@leg.wa.gov,House,Oksana Reva,Oksana.Reva@leg.wa.gov,,
Phil Fortunato,R,31,,INB 341A,(360) 786-7660,phil.fortunato@leg.wa.gov,Senate,Uriel Zikum,Uriel.Zikum@leg.wa.gov,,
Mary Fosse,D,38,2,JLOB 368,(360) 786-7864,Mary.Fosse@leg.wa.gov,House,Janene Bessent,Janene.Bessent@leg.wa.gov,,
Noel Frame,D,36,,JAC 220,(360) 786-7670,noel.frame@leg.wa.gov,Senate,Kelsey Hamlin,Kelsey.Hamlin@leg.wa.gov,,
Chris Gildon,R,25,,INB 311A,(360) 786-7648,chris.gildon@leg.wa.gov,Senate,Caylin Jensen,Caylin.Jensen@leg.wa.gov,,
Keith Goehner,R,12,,INB 331A,(360) 786-7622,keith.goehner@leg.wa.gov,Senate,Brandt Cappell,brandt.cappell@leg.wa.gov,,
Roger Goodman,D,45,1,LEG 436B,(360) 786-7878,roger.goodman@leg.wa.gov,House,Angela Langer,Angela.Langer@leg.wa.gov,,
Jenny Graham,R,6,2,JLOB 435,(360) 786-7962,jenny.graham@leg.wa.gov,House,Melinda Bailey,melinda.bailey@leg.wa.gov,,
Mia Gregerson,D,33,2,JLOB 321,(360) 786-7868,mia.gregerson@leg.wa.gov,House,Tyra Zeigler,Tyra.Zeigler@leg.wa.gov,,
Dan Griffey,R,35,1,JLOB 403,(360) 786-7966,dan.griffey@leg.wa.gov,House,Amber Oliver,amber.oliver@leg.wa.gov,,
David Hackney,D,11,1,JLOB 330,(360) 786-7956,David.Hackney@leg.wa.gov,House,Leona Wankowski,Leona.Wankowski@leg.wa.gov,,
Zach Hall,D,5,1,JLOB 309,(360) 786-7852,zach.hall@leg.wa.gov,House,,,
Drew Hansen,D,23,,LEG 403,(360) 786-7644,drew.hansen@leg.wa.gov,Senate,Connor Prieve,Connor.Prieve@leg.wa.gov,,
Paul Harris,R,17,,INB 242A,(360) 786-7632,paul.harris@leg.wa.gov,Senate,Toni Camp,toni.camp@leg.wa.gov,,
Bob Hasegawa,D,11,,LEG 305,(360) 786-7616,bob.hasegawa@leg.wa.gov,Senate,Sarah Ellerbrock,Sarah.Ellerbrock@leg.wa.gov,Britt Pomush,Britt.Pomush@leg.wa.gov,
Natasha Hill,D,3,1,JLOB 306,(360) 786-7888,Natasha.Hill@leg.wa.gov,House,Dasha Ventura,Dasha.Ventura@leg.wa.gov,,
Jeff Holy,R,6,,INB 312A,(360) 786-7610,jeff.holy@leg.wa.gov,Senate,Will Rasavage,will.rasavage@leg.wa.gov,,
Cyndy Jacobsen,R,25,2,LEG 122A,(360) 786-7968,Cyndy.Jacobsen@leg.wa.gov,House,Jeneen Breshears,Jeneen.Breshears@leg.wa.gov,,
Laurie Jinkins,D,27,1,LEG 339C,(360) 786-7930,laurie.jinkins@leg.wa.gov,House,Gretchen Mazikowski,Gretchen.Mazikowski@leg.wa.gov,Stefanie Skar,Stefanie.Skar@leg.wa.gov,
Claudia Kauffman,D,47,,JAC 218,(360) 786-7692,claudia.kauffman@leg.wa.gov,Senate,Jade Sierra,Jade.Sierra@leg.wa.gov,,
Michael Keaton,R,25,1,JLOB 405,(360) 786-7948,Michael.Keaton@leg.wa.gov,House,Sandy Ruff,sandy.ruff@leg.wa.gov,,
Curtis King,R,14,,INB 340A,(360) 786-7626,curtis.king@leg.wa.gov,Senate,Lorraine Avery,Lorraine.Avery@leg.wa.gov,,
Mark Klicker,R,16,1,LEG 122H,(360) 786-7836,Mark.Klicker@leg.wa.gov,House,Dianna Hawkins,dianna.hawkins@leg.wa.gov,,
Shelley Kloba,D,1,2,LEG 132A,(360) 786-7900,shelley.kloba@leg.wa.gov,House,Brian Haifley,brian.haifley@leg.wa.gov,,
Deborah Krishnadasan,D,26,,JAC 230,(360) 786-7650,Deborah.Krishnadasan@leg.wa.gov,Senate,Ruby Nelson,Ruby.Nelson@leg.wa.gov,,
Mari Leavitt,D,28,1,JLOB 332,(360) 786-7890,mari.leavitt@leg.wa.gov,House,Kat Bryant,Kat.Bryant@leg.wa.gov,,
Debra Lekanoff,D,40,1,JLOB 422,(360) 786-7800,debra.lekanoff@leg.wa.gov,House,Devon McBride,Devon.McBride@leg.wa.gov,,
John Ley,R,18,2,JLOB 411,(360) 786-7812,John.Ley@leg.wa.gov,House,Anne O'Neill,Anne.O'Neill@leg.wa.gov,,
Marko Liias,D,21,,JAC 305,(360) 786-7640,marko.liias@leg.wa.gov,Senate,Jeremy Knapp,jeremy.knapp@leg.wa.gov,Pavi Chance,Pavi.Chance@leg.wa.gov,
Liz Lovelett,D,40,,JAC 233,(360) 786-7678,liz.lovelett@leg.wa.gov,Senate,Ivy Ndambuki,ivy.ndambuki@leg.wa.gov,,
John Lovick,D,44,,JAC 212,(360) 786-7686,john.lovick@leg.wa.gov,Senate,Jackson Hoppis,Jackson.Hoppis@leg.wa.gov,,
Sam Low,R,39,1,LEG 122D,(360) 786-7967,Sam.Low@leg.wa.gov,House,Mary Wysocki,Mary.Wysocki@leg.wa.gov,,
Drew MacEwen,R,35,,INB 321A,(360) 786-7668,drew.macewen@leg.wa.gov,Senate,Rob Barnes,rob.barnes@leg.wa.gov,,
Nicole Macri,D,43,1,JLOB 336,(360) 786-7826,nicole.macri@leg.wa.gov,House,Brady Hood,Brady.Hood@leg.wa.gov,,
Deb Manjarrez,R,14,2,LEG 122F,(360) 786-7856,Deb.Manjarrez@leg.wa.gov,House,Elizabeth Popoff,Elizabeth.Popoff@leg.wa.gov,,
Matt Marshall,R,2,2,JLOB 406,(360) 786-7912,Matt.Marshall@leg.wa.gov,House,Michael Lindsay,Michael.Lindsay@leg.wa.gov,,
Stephanie McClintock,R,18,1,JLOB 466,(360) 786-7850,Stephanie.McClintock@leg.wa.gov,House,Peter Gilmour,peter.gilmour@leg.wa.gov,,
Jim McCune,R,2,,INB 210A,(360) 786-7602,jim.mccune@leg.wa.gov,Senate,Matthew Smith,matthew.smith@leg.wa.gov,,
Joel McEntire,R,19,2,JLOB 409,(360) 786-7870,Joel.McEntire@leg.wa.gov,House,Suzi Ryan,Suzi.Ryan@leg.wa.gov,,
Sharlett Mena,D,29,2,JLOB 319,(360) 786-7996,sharlett.mena@leg.wa.gov,House,Kaitlin Mastin,Kaitlin.Mastin@leg.wa.gov,,
Gloria Mendoza,R,14,1,JLOB 430,(360) 786-7960,Gloria.Mendoza@leg.wa.gov,House,Elizabeth Popoff,Elizabeth.Popoff@leg.wa.gov,,
Melanie Morgan,D,29,1,LEG 132E,(360) 786-7906,melanie.morgan@leg.wa.gov,House,,,
Ron Muzzall,R,10,,INB 310A,(360) 786-7618,ron.muzzall@leg.wa.gov,Senate,Eric Hemmen,eric.hemmen@leg.wa.gov,,
Greg Nance,D,23,2,JLOB 426,(360) 786-7842,Greg.Nance@leg.wa.gov,House,Shelby Williams,Shelby.Williams@leg.wa.gov,,
T'wina Nobles,D,28,,LEG 416,(360) 786-7654,T'wina.Nobles@leg.wa.gov,Senate,,,
Edwin Obras,D,33,1,JLOB 305,(360) 786-7834,Edwin.Obras@leg.wa.gov,House,Ted Metcalf,Ted.Metcalf@leg.wa.gov,,
Ed Orcutt,R,20,2,JLOB 408,(360) 786-7990,ed.orcutt@leg.wa.gov,House,Amber Hardtke,amber.hardtke@leg.wa.gov,,
Timm Ormsby,D,3,2,JLOB 315,(360) 786-7946,timm.ormsby@leg.wa.gov,House,Shannon Waechter,shannon.waechter@leg.wa.gov,,
Lillian Ortiz-Self,D,21,2,LEG 434B,(360) 786-7972,lillian.ortiz-self@leg.wa.gov,House,Samantha Cruz-Mendoza,Samantha.Cruz-Mendoza@leg.wa.gov,,
Tina Orwall,D,33,,LEG 404,(360) 786-7664,tina.orwall@leg.wa.gov,Senate,Mary Soderlind,mary.soderlind@leg.wa.gov,,
Lisa Parshley,D,22,2,JLOB 317,(360) 786-7992,Lisa.Parshley@leg.wa.gov,House,Shelby Saylors,Shelby.Saylors@leg.wa.gov,,
Dave Paul,D,10,2,JLOB 424,(360) 786-7914,dave.paul@leg.wa.gov,House,Rachel Campbell,Rachel.Campbell@leg.wa.gov,,
Jamie Pedersen,D,43,,LEG 307,(360) 786-7628,jamie.pedersen@leg.wa.gov,Senate,Sam Hendrickson,sam.hendrickson@leg.wa.gov,Elizabeth Calvillo Dueñas,Elizabeth.CalvilloDuenas@leg.wa.gov,
Joshua Penner,R,31,2,JLOB 469,(360) 786-7866,Joshua.Penner@leg.wa.gov,House,Sara Wendell,Sara.Wendell@leg.wa.gov,,
Strom Peterson,D,21,1,JLOB 324,(360) 786-7950,strom.peterson@leg.wa.gov,House,Nick Spurlock,Nick.Spurlock@leg.wa.gov,,
Gerry Pollet,D,46,1,LEG 438A,(360) 786-7886,gerry.pollet@leg.wa.gov,House,Emily Grupp,Emily.Grupp@leg.wa.gov,,
Alex Ramel,D,40,2,LEG 434A,(360) 786-7970,alex.ramel@leg.wa.gov,House,Amanda Hubik,amanda.hubik@leg.wa.gov,,
Julia Reed,D,36,1,JLOB 326,(360) 786-7814,Julia.Reed@leg.wa.gov,House,Julia Lain,Julia.Lain@leg.wa.gov,,
Kristine Reeves,D,30,2,LEG 132F,(360) 786-7830,kristine.reeves@leg.wa.gov,House,Thalia Corona,Thalia.Corona@leg.wa.gov,,
Marcus Riccelli,D,3,,LEG 309,(360) 786-7604,marcus.riccelli@leg.wa.gov,Senate,Maddie Sontag,Maddie.Sontag@leg.wa.gov,Bariah Rice,Bariah.Rice@leg.wa.gov,
Adison Richards,D,26,1,JLOB 335,(360) 786-7964,adison.richards@leg.wa.gov,House,Stephanie Hahn,Stephanie.Hahn@leg.wa.gov,,
June Robinson,D,38,,JAC 303,(360) 786-7674,june.robinson@leg.wa.gov,Senate,Mandy Apa,Mandy.Apa@leg.wa.gov,Sophia Riggs,Sophia.Riggs@leg.wa.gov,
Skyler Rude,R,16,2,LEG 122G,(360) 786-7828,skyler.rude@leg.wa.gov,House,Austin Choate,Austin.Choate@leg.wa.gov,,
Alicia Rule,D,42,1,JLOB 334,(360) 786-7980,Alicia.Rule@leg.wa.gov,House,Jessica Hansen,Jessica.Hansen@leg.wa.gov,,
Cindy Ryu,D,32,1,JLOB 303,(360) 786-7880,cindy.ryu@leg.wa.gov,House,Shoubee Liaw,Shoubee.Liaw@leg.wa.gov,,
Osman Salahuddin,D,48,1,JLOB 328,(360) 786-7936,Osman.Salahuddin@leg.wa.gov,House,Gavin Haines,Gavin.Haines@leg.wa.gov,,
Rebecca Saldaña,D,37,,JAC 219,(360) 786-7688,rebecca.saldana@leg.wa.gov,Senate,Teresa Arciniega-Ruiz,Teresa.Arciniega-Ruiz@leg.wa.gov,,
Jesse Salomon,D,32,,JAC 235,(360) 786-7662,jesse.salomon@leg.wa.gov,Senate,Thurston Weaver,Thurston.Weaver@leg.wa.gov,,
Sharon Tomiko Santos,D,37,1,JLOB 320,(360) 786-7944,sharontomiko.santos@leg.wa.gov,House,Kathy Strauss,kathy.strauss@leg.wa.gov,Radigan Lander,Radigan.Lander@leg.wa.gov,
Joe Schmick,R,9,2,LEG 426B,(360) 786-7844,joe.schmick@leg.wa.gov,House,Trixie Harmon,Trixie.Harmon@leg.wa.gov,,
Suzanne Schmidt,R,4,1,JLOB 468,(360) 786-7820,Suzanne.Schmidt@leg.wa.gov,House,Andy Aboen,andy.aboen@leg.wa.gov,,
Mark Schoesler,R,9,,LEG 417,(360) 786-7620,mark.schoesler@leg.wa.gov,Senate,Suzette Cooper,suzette.cooper@leg.wa.gov,,
Shaun Scott,D,43,2,JLOB 304,(360) 786-7920,Shaun.Scott@leg.wa.gov,House,Kalia Hobbs Rutz,Kalia.HobbsRutz@leg.wa.gov,,
Clyde Shavers,D,10,1,JLOB 311,(360) 786-7884,Clyde.Shavers@leg.wa.gov,House,Sameer Chhetri,Sameer.Chhetri@leg.wa.gov,,
Sharon Shewmake,D,42,,JAC 215,(360) 786-7682,sharon.shewmake@leg.wa.gov,Senate,Sarah Soulliere,Sarah.Soulliere@leg.wa.gov,,
Shelly Short,R,7,,INB 240A,(360) 786-7612,shelly.short@leg.wa.gov,Senate,Shannon Whitmore,shannon.whitmore@leg.wa.gov,,
Tarra Simmons,D,23,1,LEG 429A,(360) 786-7934,Tarra.Simmons@leg.wa.gov,House,Zach Ellis,Zach.Ellis@leg.wa.gov,,
Vandana Slatter,D,48,,JAC 213,(360) 786-7694,vandana.slatter@leg.wa.gov,Senate,Mary Ann Lara,MaryAnn.Lara@leg.wa.gov,,
Larry Springer,D,45,2,LEG 437A,(360) 786-7822,larry.springer@leg.wa.gov,House,Emily Wills,Emily.Wills@leg.wa.gov,,
Derek Stanford,D,1,,JAC 237,(360) 786-7600,derek.stanford@leg.wa.gov,Senate,Stephen Cardamenis,stephen.cardamenis@leg.wa.gov,,
Chris Stearns,D,47,2,LEG 430,(360) 786-7858,Chris.Stearns@leg.wa.gov,House,Darci Suttle,darci.suttle@leg.wa.gov,,
Mike Steele,R,12,2,LEG 425A,(360) 786-7832,mike.steele@leg.wa.gov,House,Brenda Glenn,brenda.glenn@leg.wa.gov,,
Drew Stokesbary,R,31,1,LEG 335C,(360) 786-7846,drew.stokesbary@leg.wa.gov,House,Gina Palermo,gina.palermo@leg.wa.gov,,
Monica Jurado Stonier,D,49,2,LEG 436A,(360) 786-7872,monica.stonier@leg.wa.gov,House,Megan Filippello,Megan.Filippello@leg.wa.gov,,
Chipalo Street,D,37,2,JLOB 310,(360) 786-7838,Chipalo.Street@leg.wa.gov,House,Travis Jones,Travis.Jones@leg.wa.gov,,
David Stuebe,R,17,2,JLOB 427,(360) 786-7976,David.Stuebe@leg.wa.gov,House,Holly Metzner,Holly.Metzner@leg.wa.gov,,
Jamila Taylor,D,30,1,JLOB 370,(360) 786-7898,Jamila.Taylor@leg.wa.gov,House,Preeya Williams,Preeya.Williams@leg.wa.gov,,
My-Linh Thai,D,41,2,JLOB 421,(360) 786-7926,my-linh.thai@leg.wa.gov,House,Carmen Tuncap,Carmen.Tuncap@leg.wa.gov,,
Steve Tharinger,D,24,2,JLOB 314,(360) 786-7904,steve.tharinger@leg.wa.gov,House,Dawn Thomas,dawn.thomas@leg.wa.gov,,
Brianna Thomas,D,34,1,JLOB 318,(360) 786-7978,brianna.thomas@leg.wa.gov,House,Kraig Cook,Kraig.Cook@leg.wa.gov,,
Joe Timmons,D,42,2,JLOB 425,(360) 786-7854,Joe.Timmons@leg.wa.gov,House,Helen Dahl,Helen.Dahl@leg.wa.gov,,
Nikki Torres,R,15,,INB 323A,(360) 786-7684,Nikki.Torres@leg.wa.gov,Senate,Justus Phelps,justus.phelps@leg.wa.gov,,
Yasmin Trudeau,D,27,,JAC 227,(360) 786-7652,yasmin.trudeau@leg.wa.gov,Senate,Hailey Norris,Hailey.Norris@leg.wa.gov,,
Javier Valdez,D,46,,JAC 226,(360) 786-7690,javier.valdez@leg.wa.gov,Senate,Johana Guerrero,Johana.Guerrero@leg.wa.gov,,
Mike Volz,R,6,1,JLOB 465,(360) 786-7922,mike.volz@leg.wa.gov,House,Phillip Janzen,phillip.janzen@leg.wa.gov,,
Keith Wagoner,R,39,,INB 332A,(360) 786-7676,keith.wagoner@leg.wa.gov,Senate,Sharra Finley,sharra.finley@leg.wa.gov,,
Amy Walen,D,48,2,LEG 437B,(360) 786-7848,amy.walen@leg.wa.gov,House,Phoebe Greening,Phoebe.Greening@leg.wa.gov,,
Jim Walsh,R,19,1,JLOB 428,(360) 786-7806,jim.walsh@leg.wa.gov,House,Karen Larsen,Karen.Larsen@leg.wa.gov,,
Judy Warnick,R,13,,LEG 316,(360) 786-7624,judith.warnick@leg.wa.gov,Senate,Andrew Willett,Andrew.Willett@leg.wa.gov,,
Kevin Waters,R,17,1,JLOB 467,(360) 786-7994,Kevin.Waters@leg.wa.gov,House,Wanda Scharfe,Wanda.Scharfe@leg.wa.gov,,
Lisa Wellman,D,41,,JAC 224,(360) 786-7641,lisa.wellman@leg.wa.gov,Senate,Noah Burgher,noah.burgher@leg.wa.gov,,
Claire Wilson,D,30,,LEG 407,(360) 786-7658,claire.wilson@leg.wa.gov,Senate,Kit Hager,Kit.Hager@leg.wa.gov,,
Jeff Wilson,R,19,,INB 330A,(360) 786-7636,Jeff.Wilson@leg.wa.gov,Senate,Jami Lund,jami.lund@leg.wa.gov,,
Sharon Wylie,D,49,1,JLOB 414,(360) 786-7924,sharon.wylie@leg.wa.gov,House,Megan Walsh,megan.walsh@leg.wa.gov,,
Alex Ybarra,R,13,2,JLOB 470,(360) 786-7808,alex.ybarra@leg.wa.gov,House,Marge Plumage,marge.plumage@leg.wa.gov,,
Janice Zahn,D,41,1,JLOB 419,(360) 786-7894,Janice.Zahn@leg.wa.gov,House,Chelsea Thumberg,Chelsea.Thumberg@leg.wa.gov,,
